team,season,wins,losses,ortg,drtg,nrtg,pace,ts_pct,efg_pct,tov_pct,orb_pct,sos,srs,wins_lag1,ortg_lag1,drtg_lag1,wins_lag2,ortg_lag2,drtg_lag2,wins_lag3,ortg_lag3,drtg_lag3,wins_trend_1yr,wins_trend_2yr,target_next_wins,target_next_ortg,target_next_drtg,is_training
ATL,2020-21,41.0,31.0,115.7,113.3,2.4,97.6,0.581,0.539,11.9,24.4,-0.18,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,116.5,114.9,True
ATL,2021-22,43.0,39.0,116.5,114.9,1.6,97.7,0.581,0.543,10.8,23.0,-0.01,1.55,41.0,115.7,113.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.0,116.6,116.3,True
ATL,2022-23,41.0,41.0,116.6,116.3,0.3,100.7,0.579,0.541,11.2,25.1,0.02,0.32,43.0,116.5,114.9,41.0,115.7,113.3,0.0,0.0,0.0,-2.0,0.0,36.0,117.2,119.4,True
ATL,2023-24,36.0,46.0,117.2,119.4,-2.2,100.1,0.576,0.539,11.6,27.1,-0.19,-2.38,41.0,116.6,116.3,43.0,116.5,114.9,41.0,115.7,113.3,-5.0,-7.0,40.0,114.6,115.7,True
ATL,2024-25,40.0,42.0,114.6,115.7,-1.1,102.6,0.579,0.546,13.2,26.3,-0.28,-1.41,36.0,117.2,119.4,41.0,116.6,116.3,43.0,116.5,114.9,4.0,-1.0,0.0,0.0,0.0,False
BKN,2020-21,48.0,24.0,118.3,113.8,4.5,99.5,0.61,0.575,12.2,21.4,-0.27,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,113.6,112.8,True
BKN,2021-22,44.0,38.0,113.6,112.8,0.8,99.0,0.576,0.54,12.5,23.9,0.04,0.82,48.0,118.3,113.8,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,45.0,115.0,114.1,True
BKN,2022-23,45.0,37.0,115.0,114.1,0.9,98.3,0.598,0.562,12.7,19.6,0.18,1.03,44.0,113.6,112.8,48.0,118.3,113.8,0.0,0.0,0.0,1.0,-3.0,32.0,113.2,116.1,True
BKN,2023-24,32.0,50.0,113.2,116.1,-2.9,96.9,0.561,0.531,11.8,25.2,-0.13,-3.02,45.0,115.0,114.1,44.0,113.6,112.8,48.0,118.3,113.8,-13.0,-12.0,26.0,108.5,115.8,True
BKN,2024-25,26.0,56.0,108.5,115.8,-7.3,96.4,0.552,0.516,13.7,24.5,0.16,-6.95,32.0,113.2,116.1,45.0,115.0,114.1,44.0,113.6,112.8,-6.0,-19.0,0.0,0.0,0.0,False
BOS,2020-21,36.0,36.0,114.0,112.5,1.5,98.3,0.574,0.543,12.5,24.3,-0.14,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,114.4,106.9,True
BOS,2021-22,51.0,31.0,114.4,106.9,7.5,96.6,0.578,0.542,12.4,24.0,-0.26,7.02,36.0,114.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,57.0,118.0,111.5,True
BOS,2022-23,57.0,25.0,118.0,111.5,6.5,98.5,0.6,0.566,12.0,22.1,-0.15,6.38,51.0,114.4,106.9,36.0,114.0,112.5,0.0,0.0,0.0,6.0,21.0,64.0,123.2,111.6,True
BOS,2023-24,64.0,18.0,123.2,111.6,11.6,97.2,0.609,0.578,10.8,24.9,-0.6,10.75,57.0,118.0,111.5,51.0,114.4,106.9,36.0,114.0,112.5,7.0,13.0,61.0,120.6,111.1,True
BOS,2024-25,61.0,21.0,120.6,111.1,9.5,95.7,0.591,0.561,10.8,25.7,-0.83,8.28,64.0,123.2,111.6,57.0,118.0,111.5,51.0,114.4,106.9,-3.0,4.0,0.0,0.0,0.0,False
CHA,2020-21,33.0,39.0,110.9,112.8,-1.9,98.3,0.564,0.532,13.3,23.5,-0.01,-1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,114.1,113.7,True
CHA,2021-22,43.0,39.0,114.1,113.7,0.4,100.0,0.572,0.544,11.6,23.3,0.09,0.53,33.0,110.9,112.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,27.0,109.2,115.3,True
CHA,2022-23,27.0,55.0,109.2,115.3,-6.1,100.8,0.55,0.516,12.3,23.8,0.35,-5.89,43.0,114.1,113.7,33.0,110.9,112.8,0.0,0.0,0.0,-16.0,-6.0,21.0,109.3,119.8,True
CHA,2023-24,21.0,61.0,109.3,119.8,-10.5,97.3,0.56,0.529,12.6,21.1,0.13,-10.12,27.0,109.2,115.3,43.0,114.1,113.7,33.0,110.9,112.8,-6.0,-22.0,19.0,107.3,116.6,True
CHA,2024-25,19.0,63.0,107.3,116.6,-9.3,97.6,0.537,0.503,13.7,26.5,0.01,-9.1,21.0,109.3,119.8,27.0,109.2,115.3,43.0,114.1,113.7,-2.0,-8.0,0.0,0.0,0.0,False
CHI,2020-21,31.0,41.0,111.1,112.0,-0.9,99.0,0.575,0.547,13.6,22.3,-0.05,-0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,113.2,113.6,True
CHI,2021-22,46.0,36.0,113.2,113.6,-0.4,98.3,0.579,0.541,11.8,20.4,0.02,-0.38,31.0,111.1,112.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,40.0,113.5,112.2,True
CHI,2022-23,40.0,42.0,113.5,112.2,1.3,98.5,0.587,0.55,12.2,20.1,0.07,1.37,46.0,113.2,113.6,31.0,111.1,112.0,0.0,0.0,0.0,-6.0,9.0,39.0,114.9,116.3,True
CHI,2023-24,39.0,43.0,114.9,116.3,-1.4,96.3,0.568,0.534,11.0,25.1,-0.33,-1.77,40.0,113.5,112.2,46.0,113.2,113.6,31.0,111.1,112.0,-1.0,-7.0,39.0,114.1,115.6,True
CHI,2024-25,39.0,43.0,114.1,115.6,-1.5,102.8,0.585,0.553,12.7,22.3,-0.27,-1.83,39.0,114.9,116.3,40.0,113.5,112.2,46.0,113.2,113.6,0.0,-1.0,0.0,0.0,0.0,False
CLE,2020-21,22.0,50.0,105.8,114.4,-8.6,97.3,0.543,0.508,13.9,23.6,0.25,-8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,111.9,109.7,True
CLE,2021-22,44.0,38.0,111.9,109.7,2.2,96.1,0.571,0.538,13.2,24.0,-0.08,2.04,22.0,105.8,114.4,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,51.0,116.1,110.6,True
CLE,2022-23,51.0,31.0,116.1,110.6,5.5,95.7,0.59,0.556,12.3,23.6,-0.15,5.23,44.0,111.9,109.7,22.0,105.8,114.4,0.0,0.0,0.0,7.0,29.0,48.0,115.2,112.7,True
CLE,2023-24,48.0,34.0,115.2,112.7,2.5,97.2,0.586,0.557,12.4,23.2,-0.44,1.98,51.0,116.1,110.6,44.0,111.9,109.7,22.0,105.8,114.4,-3.0,4.0,64.0,121.7,112.2,True
CLE,2024-25,64.0,18.0,121.7,112.2,9.5,99.8,0.607,0.578,11.6,25.9,-0.73,8.81,48.0,115.2,112.7,51.0,116.1,110.6,44.0,111.9,109.7,16.0,13.0,0.0,0.0,0.0,False
DAL,2020-21,42.0,30.0,115.4,113.0,2.4,97.3,0.582,0.55,11.1,21.1,-0.01,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,112.8,109.4,True
DAL,2021-22,52.0,30.0,112.8,109.4,3.4,95.4,0.572,0.538,11.7,21.3,-0.18,3.12,42.0,115.4,113.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,38.0,116.8,116.7,True
DAL,2022-23,38.0,44.0,116.8,116.7,0.1,96.6,0.599,0.565,11.4,18.0,-0.22,-0.14,52.0,112.8,109.4,42.0,115.4,113.0,0.0,0.0,0.0,-14.0,-4.0,50.0,117.6,115.4,True
DAL,2023-24,50.0,32.0,117.6,115.4,2.2,100.1,0.592,0.562,11.2,22.2,0.09,2.3,38.0,116.8,116.7,52.0,112.8,109.4,42.0,115.4,113.0,12.0,-2.0,39.0,114.8,116.0,True
DAL,2024-25,39.0,43.0,114.8,116.0,-1.2,99.2,0.583,0.549,12.5,23.3,0.46,-0.74,50.0,117.6,115.4,38.0,116.8,116.7,52.0,112.8,109.4,-11.0,1.0,0.0,0.0,0.0,False
